disambig_state,state_fips,county,county_fips,patent_count,patent_with_women_count,patent_with_women_pct,patent_with_women_pct_log_log
AK,2,Aleutians East,13,7,0,0.0,0.0
AK,2,Aleutians West Census Area,16,2,0,0.0,0.0
AK,2,Anchorage,20,240,43,17.916666666666668,0.6899416112949716
AK,2,Anchorage Municipality,20,2,0,0.0,0.0
AK,2,Fairbanks North Star,90,55,5,9.090909090909092,0.4451187391531561
AK,2,Fairbanks North Star Borough,90,1,0,0.0,0.0
AK,2,Haines,100,1,1,100.0,1.0
AK,2,Juneau,110,15,0,0.0,0.0
AK,2,Kenai Peninsula,122,22,3,13.636363636363637,0.4421294589150075
AK,2,Ketchikan Gateway,130,5,1,20.0,0.3868528072345416
AK,2,Kodiak Island,150,3,0,0.0,0.0
AK,2,Matanuska-Susitna,170,65,19,29.23076923076923,0.7150308218726955
AK,2,North Slope,185,1,0,0.0,0.0
AK,2,Sitka,220,5,0,0.0,0.0
AK,2,Wrangell,275,14,0,0.0,0.0
AK,2,Yukon-Koyukuk Census Area,290,2,0,0.0,0.0
AL,1,Autauga,1,34,5,14.705882352941176,0.5039617607727125
AL,1,Autauga County,1,1,0,0.0,0.0
AL,1,Baldwin,3,79,22,27.848101265822784,0.7155351797998597
AL,1,Baldwin County,3,4,2,50.0,0.6826061944859854
AL,1,Barbour,5,25,2,8.0,0.3371945170584955
AL,1,Blount,9,3,0,0.0,0.0
AL,1,Bullock County,11,1,1,100.0,1.0
AL,1,Butler,13,7,1,14.285714285714286,0.33333333333333337
AL,1,Calhoun,15,49,3,6.122448979591836,0.35436764027111584
AL,1,Calhoun County,15,1,0,0.0,0.0
AL,1,Chambers,17,1,0,0.0,0.0
AL,1,Chilton,21,2,0,0.0,0.0
AL,1,Clarke,25,3,0,0.0,0.0
AL,1,Cleburne County,29,1,0,0.0,0.0
AL,1,Coffee,31,18,5,27.77777777777778,0.6085232133882752
AL,1,Colbert,33,174,20,11.494252873563218,0.5894769798971169
AL,1,Conecuh,35,2,0,0.0,0.0
AL,1,Covington,39,6,1,16.666666666666668,0.3562071871080222
AL,1,Cullman,43,55,2,3.6363636363636362,0.272923305359058
AL,1,Cullman County,43,7,1,14.285714285714286,0.33333333333333337
AL,1,Dale,45,15,0,0.0,0.0
AL,1,Dallas,47,18,0,0.0,0.0
AL,1,DeKalb,49,17,2,11.764705882352942,0.3800937667159343
AL,1,DeKalb County,49,1,1,100.0,1.0
AL,1,Elmore,51,69,3,4.3478260869565215,0.3263024393670215
AL,1,Escambia,53,16,0,0.0,0.0
AL,1,Etowah,55,27,2,7.407407407407407,0.3296953369198657
AL,1,Fayette,57,62,1,1.6129032258064515,0.16730017881017414
AL,1,Franklin,59,11,4,36.36363636363637,0.647685462377997
AL,1,Franklin County,59,1,1,100.0,1.0
AL,1,Geneva,61,1,0,0.0,0.0
AL,1,Greene,63,1,0,0.0,0.0
AL,1,Henry,67,2,0,0.0,0.0
AL,1,Henry County,67,1,0,0.0,0.0
AL,1,Houston,69,21,2,9.523809523809524,0.35541805240316376
AL,1,Jackson,71,23,2,8.695652173913043,0.34568712404340535
AL,1,Jefferson,73,1811,330,18.22197680839315,0.7733903157083913
AL,1,Jefferson County,73,2,0,0.0,0.0
