month,day,average_temperature
1,1,7.5
1,2,3.3
1,3,0.6
1,4,-1.5
1,5,-2.3
1,6,-2.3
1,7,-5.2
1,8,-4.5
1,9,-4.1
1,10,-0.8
1,11,-0.5
1,12,-0.6
1,13,2.6
1,14,-0.9
1,15,-4
1,16,-3.3
1,17,-1.4
1,18,4.2
1,19,2.7
1,20,-5.6
1,21,-8.6
1,22,-9.3
1,23,-5.7
1,24,-3.8
1,25,-3
1,26,1
1,27,1.1
1,28,2.2
1,29,4.3
1,30,-2.4
1,31,3.9
2,1,1.7
2,2,-6
2,3,2.8
2,4,3.8
2,5,-2.7
2,6,-0.4
2,7,2.5
2,8,-1.8
2,9,-1.3
2,10,-0.5
2,11,-1.1
2,12,-0.2
2,13,3.3
2,14,0
2,15,-1.7
2,16,2.8
2,17,-0.3
2,18,-6
2,19,-6.4
2,20,-5.9
2,21,-4.2
2,22,-3.7
2,23,1.8
2,24,4.1
2,25,6.7
2,26,7.2
2,27,7.9
2,28,6.3
3,1,6.6
3,2,-4.4
3,3,-4.6
3,4,2.7
3,5,8.9
3,6,9.2
3,7,2.5
3,8,3.7
3,9,2.9
3,10,9.6
3,11,10.5
3,12,7.5
3,13,4.5
3,14,6
3,15,5.6
3,16,11.8
3,17,11.2
3,18,5.1
3,19,10.2
3,20,7.1
3,21,6.3
3,22,9
3,23,2.5
3,24,5.4
3,25,8.9
3,26,5.7
3,27,3.2
3,28,9.6
3,29,13.6
3,30,5.7
3,31,11.2
4,1,8.6
4,2,4.2
4,3,9.8
4,4,17.1
4,5,9.7
4,6,6.5
4,7,5.7
4,8,3.5
4,9,1.4
4,10,5.7
4,11,5.3
4,12,2.8
4,13,5.1
4,14,11.2
4,15,11.5
4,16,7.3
4,17,7.8
4,18,12.6
4,19,16.9
4,20,16.5
4,21,10.6
4,22,15.3
4,23,16.1
4,24,16.5
4,25,17.1
4,26,15.1
4,27,10.9
4,28,14.6
4,29,15.7
4,30,17.1
5,1,15.1
5,2,17.3
5,3,18.7
5,4,16.9
5,5,15.4
5,6,15.5
5,7,16.6
5,8,19
5,9,14.2
5,10,13.1
5,11,18.1
5,12,17.1
5,13,17.5
5,14,15.6
5,15,17.4
5,16,17.6
5,17,18.9
5,18,18.2
5,19,15.1
5,20,11.3
5,21,11
5,22,8.2
5,23,9.2
5,24,12.1
5,25,13.4
5,26,15.1
5,27,17
5,28,15.8
5,29,13.8
5,30,16.4
5,31,15.3
6,1,12.7
6,2,15.3
6,3,18.6
6,4,20.3
6,5,23.1
6,6,23
6,7,21
6,8,18.5
6,9,15.6
6,10,16.8
6,11,21.5
6,12,23.9
6,13,22.1
6,14,15.5
6,15,14.9
6,16,16.7
6,17,17.2
6,18,20.4
6,19,23.9
6,20,22.2
6,21,24.7
6,22,24.9
6,23,29
6,24,29.7
6,25,30.7
6,26,22.6
6,27,18.4
6,28,20.2
6,29,25.1
6,30,25.3
7,1,24.9
7,2,23.1
7,3,24.2
7,4,21.1
7,5,23.3
7,6,24.1
7,7,24.5
7,8,26.3
7,9,25.2
7,10,23.6
7,11,22.7
7,12,23.2
7,13,21.8
7,14,23.9
7,15,24.3
7,16,26.6
7,17,27
7,18,24.5
7,19,23.7
7,20,24.7
7,21,23.6
7,22,21.9
7,23,22.6
7,24,23.4
7,25,26
7,26,24.9
7,27,22.6
7,28,26.3
7,29,28
7,30,29.1
7,31,25.1
8,1,17.9
8,2,20.6
8,3,21.9
8,4,23.2
8,5,23.7
8,6,21.4
8,7,21.4
8,8,21.2
8,9,21.5
8,10,23.4
8,11,24.8
8,12,24.1
8,13,24.8
8,14,24.4
8,15,25.3
8,16,23.4
8,17,24.4
8,18,20.9
8,19,18.9
8,20,17.6
8,21,16.5
8,22,20
8,23,22
8,24,21.2
8,25,22.5
8,26,20.9
8,27,19.1
8,28,20
8,29,20.6
8,30,17.8
8,31,19.4
9,1,19
9,2,19.2
9,3,18.9
9,4,19.9
9,5,22
9,6,22.6
9,7,16.4
9,8,17.1
9,9,17.9
9,10,17.6
9,11,19.6
9,12,20.2
9,13,19.1
9,14,20.6
9,15,20.7
9,16,18.7
9,17,17.7
9,18,19.6
9,19,21.7
9,20,18.8
9,21,16.4
9,22,17
9,23,20.2
9,24,21.4
9,25,21.1
9,26,21.9
9,27,21.3
9,28,20.8
9,29,20.5
9,30,20.3
10,1,16
10,2,14.3
10,3,15.6
10,4,18.8
10,5,22.3
10,6,20.3
10,7,19.9
10,8,18.6
10,9,12.6
10,10,12.2
10,11,15.4
10,12,14.4
10,13,13.3
10,14,12.1
10,15,14.1
10,16,10.3
10,17,11.1
10,18,12.8
10,19,16.1
10,20,16.2
10,21,13.6
10,22,14.9
10,23,12.1
10,24,10.6
10,25,10.6
10,26,11.1
10,27,9.4
10,28,9.2
10,29,9.7
10,30,12.2
10,31,12.5
11,1,10.6
11,2,9.6
11,3,12.5
11,4,10.8
11,5,12.6
11,6,10.3
11,7,8.8
11,8,14.1
11,9,13.8
11,10,11.6
11,11,1.5
11,12,4.7
11,13,7.9
11,14,6.2
11,15,5.6
11,16,9.8
11,17,3.6
11,18,4.5
11,19,5.4
11,20,5.2
11,21,7.4
11,22,8.1
11,23,6
11,24,7.6
11,25,9.5
11,26,13
11,27,7.2
11,28,2.6
11,29,2.3
11,30,4.5
12,1,3.9
12,2,3.1
12,3,1.3
12,4,2
12,5,-4.4
12,6,2.6
12,7,3.3
12,8,-1.2
12,9,-4.5
12,10,3.6
12,11,1.6
12,12,-2.6
12,13,0.4
12,14,-1.3
12,15,-6.2
12,16,-2.2
