county,gender,child,adult,senior
Albany County,M,29296,99324,24568
Albany County,F,28137,102485,31564
Allegany County,M,4803,14536,4526
Allegany County,F,4541,13868,4753
Bronx County,M,177091,414274,79363
Bronx County,F,170272,459911,118339
Broome County,M,19658,60553,17473
Broome County,F,18495,59659,21900
Cattaraugus County,M,8640,22360,7307
Cattaraugus County,F,8196,21781,8195
Cayuga County,M,7675,23668,7323
Cayuga County,F,7054,21558,8186
Chautauqua County,M,13319,37142,12235
Chautauqua County,F,12801,36592,14240
Chemung County,M,8808,24782,7471
Chemung County,F,8724,23995,9025
Chenango County,M,4908,13646,4882
Chenango County,F,4759,13253,5237
Clinton County,M,7332,26032,6836
Clinton County,F,7048,24102,7611
Columbia County,M,5346,18162,7456
Columbia County,F,4628,17541,8112
Cortland County,M,4603,14955,3557
Cortland County,F,4084,14990,4212
Delaware County,M,3690,13391,5570
Delaware County,F,3538,12490,5872
Dutchess County,M,28433,94337,25132
Dutchess County,F,26909,92102,30231
Erie County,M,98279,285524,78405
Erie County,F,94274,293291,100271
Essex County,M,3056,11463,4577
Essex County,F,2821,10212,4948
Franklin County,M,4796,15672,4217
Franklin County,F,4760,12936,4685
Fulton County,M,5507,15986,4914
Fulton County,F,5128,15420,5832
Genesee County,M,6120,17733,5343
Genesee County,F,5722,16999,6026
Greene County,M,3970,15275,5280
Greene County,F,3804,13356,5869
Hamilton County,M,326,1393,847
Hamilton County,F,340,1372,824
Herkimer County,M,6348,17653,5987
Herkimer County,F,5988,16998,6958
Jefferson County,M,14215,39075,7801
Jefferson County,F,13626,32216,9197
Kings County,M,304581,790627,165189
Kings County,F,290456,864572,230881
Lewis County,M,3102,7842,2542
Lewis County,F,3048,7339,2745
Livingston County,M,5755,19422,5563
Livingston County,F,5326,19095,6427
Madison County,M,6483,20783,6263
Madison County,F,6068,20905,7070
Monroe County,M,79096,225844,60963
Monroe County,F,75890,235486,76789
Montgomery County,M,5914,14282,4385
Montgomery County,F,5509,14380,4991
Nassau County,M,154213,415869,112546
Nassau County,F,145926,418842,140742
New York County,M,116080,540474,120687
New York County,F,113439,568455,168653
Niagara County,M,21305,63015,19451
Niagara County,F,20931,63477,23162
Oneida County,M,25476,69237,19936
Oneida County,F,24066,66330,24600
Onondaga County,M,50880,139927,38042
Onondaga County,F,48715,146308,47739
Ontario County,M,11176,33146,11049
Ontario County,F,10726,33166,13142
Orange County,M,53161,122130,26221
Orange County,F,50579,120025,31724
Orleans County,M,3894,12656,3545
Orleans County,F,3697,11897,3997
Oswego County,M,12661,36771,9818
Oswego County,F,11759,36179,10757
Otsego County,M,4653,18397,5989
Otsego County,F,4456,19532,6711
Putnam County,M,9957,31030,8516
Putnam County,F,9223,29457,9805
Queens County,M,236604,728655,173179
Queens County,F,224331,740754,226601
Rensselaer County,M,15924,51059,12920
Rensselaer County,F,14918,49790,15730
Richmond County,M,55180,149546,36496
Richmond County,F,52163,152942,46407
Rockland County,M,50939,93525,23160
Rockland County,F,48794,92843,29675
St. Lawrence County,M,11180,34421,9375
St. Lawrence County,F,10508,31873,10439
Saratoga County,M,23438,73004,21217
Saratoga County,F,22469,72217,24730
Schenectady County,M,17807,48150,12408
Schenectady County,F,16637,48918,15683
Schoharie County,M,2735,8900,3419
Schoharie County,F,2510,8850,3565
Schuyler County,M,1710,5278,1920
Schuyler County,F,1664,5102,2075
Seneca County,M,3521,10355,3256
Seneca County,F,3258,9109,3626
Steuben County,M,10388,27375,8855
Steuben County,F,9712,26664,10040
Suffolk County,M,163136,474361,119054
Suffolk County,F,156188,465462,147479
Sullivan County,M,8673,24925,7395
Sullivan County,F,8274,22217,7663
Tioga County,M,5058,14176,4871
Tioga County,F,4783,13886,5332
Tompkins County,M,7814,35014,7580
Tompkins County,F,7174,36383,8914
Ulster County,M,16142,57201,17376
Ulster County,F,15494,55465,20431
Warren County,M,5985,19265,7319
Warren County,F,5621,19235,8135
Washington County,M,5864,19327,6095
Washington County,F,5439,17535,6623
Wayne County,M,9896,26993,8731
Wayne County,F,9435,26414,9659
Westchester County,M,110620,299026,76339
Westchester County,F,104119,306495,100289
Wyoming County,M,3667,13857,3905
Wyoming County,F,3810,10710,4031
Yates County,M,2810,6658,2616
Yates County,F,2816,6961,2776
