Source,Target,Weight
Northport,Tuscaloosa,981
Birmingham,Tuscaloosa,598
Birmingham,Montgomery,288
Montgomery,Tuscaloosa,245
Auburn,Tuscaloosa,163
Demopolis,Tuscaloosa,151
Fayette,Tuscaloosa,149
Mobile,Montgomery,130
Brookwood,Tuscaloosa,128
Fayette,Northport,114
Carrollton,Tuscaloosa,108
Birmingham,Mobile,106
Moundville,Tuscaloosa,101
Carrollton,Northport,92
Demopolis,Northport,90
Livingston,Tuscaloosa,90
Carrollton,Fayette,89
Demopolis,Fayette,88
Mobile,Tuscaloosa,86
Bessemer,Tuscaloosa,85
Jasper,Tuscaloosa,85
Carrollton,Demopolis,83
Birmingham,Northport,77
Greensboro,Tuscaloosa,76
Demopolis,Livingston,74
Montgomery,Selma,74
Livingston,Northport,66
Auburn,Montgomery,66
Fayette,Livingston,65
Eutaw,Tuscaloosa,64
Selma,Tuscaloosa,63
Carrollton,Livingston,62
Bessemer,Birmingham,62
Birmingham,Jasper,50
Auburn,Birmingham,50
Aliceville,Tuscaloosa,48
Tuscaloosa,Vestavia Hills,47
Centreville,Tuscaloosa,42
Birmingham,Selma,41
Gadsden,Tuscaloosa,38
Birmingham,Homewood,36
Enterprise,Tuscaloosa,35
Brent,Tuscaloosa,35
Bessemer,Brookwood,35
Birmingham,Cullman,34
Auburn,Opelika,33
Brookwood,Northport,33
Hueytown,Tuscaloosa,33
Cullman,Tuscaloosa,32
Trussville,Tuscaloosa,31
Coaling,Tuscaloosa,31
Birmingham,Demopolis,30
Birmingham,Vestavia Hills,30
Marion,Tuscaloosa,29
Troy,Tuscaloosa,28
Atmore,Montgomery,26
Brookwood,Enterprise,26
Bessemer,Hueytown,25
Brent,Centreville,25
Birmingham,Trussville,25
Montgomery,Opelika,25
Birmingham,Pleasant Grove,25
Fayette,Jasper,25
Jasper,Montgomery,25
Bessemer,Enterprise,24
Jacksonville,Tuscaloosa,24
Brookwood,Hueytown,23
Dothan,Montgomery,23
Dothan,Tuscaloosa,23
Birmingham,Mountain Brook,23
Birmingham,Gadsden,23
Birmingham,Opelika,23
Mountain Brook,Tuscaloosa,23
Cullman,Jasper,23
Florence,Tuscaloosa,23
Birmingham,Fairfield,23
Eutaw,Northport,23
Birmingham,Brookwood,22
Birmingham,Fayette,22
Gulf Shores,Orange Beach,22
Bessemer,Vestavia Hills,22
Homewood,Tuscaloosa,22
Atmore,Birmingham,22
Trussville,Vestavia Hills,22
Decatur,Montgomery,21
Decatur,Tuscaloosa,21
Montgomery,Troy,21
Florence,Montgomery,21
Bessemer,Trussville,21
Anniston,Montgomery,21
Birmingham,Greensboro,21
Anniston,Birmingham,20
Brookwood,Vestavia Hills,20
Greensboro,Montgomery,20
Birmingham,Decatur,20
Demopolis,Jasper,20
Demopolis,Montgomery,20
Montgomery,Northport,20
Enterprise,Vestavia Hills,19
Montgomery,Tuskegee,19
Bessemer,Montgomery,19
Cullman,Montgomery,19
Aliceville,Carrollton,19
Birmingham,Dothan,18
Greensboro,Selma,18
Haleyville,Tuscaloosa,18
Greensboro,Moundville,18
Anniston,Tuscaloosa,18
Montgomery,Pleasant Grove,18
Montevallo,Tuscaloosa,18
Moundville,Northport,17
Birmingham,Pelham,17
Birmingham,Hueytown,17
Birmingham,Florence,17
Talladega,Tuscaloosa,17
Tuscaloosa,Winfield,17
Demopolis,Selma,17
Eutaw,Greensboro,17
Jasper,Northport,17
Greensboro,Jasper,17
Birmingham,Tuskegee,16
Montgomery,Vestavia Hills,16
Pelham,Tuscaloosa,16
Enterprise,Hueytown,16
Helena,Tuscaloosa,16
Gadsden,Jasper,16
Madison,Tuscaloosa,16
Mobile,Prichard,16
Aliceville,Brookwood,16
Hueytown,Trussville,16
Montgomery,Prichard,16
Linden,Tuscaloosa,15
Brookwood,Greensboro,15
Hueytown,Vestavia Hills,15
Aliceville,Bessemer,15
Brookwood,Trussville,15
Birmingham,Troy,15
Aliceville,Greensboro,15
Sulligent,Tuscaloosa,15
Gadsden,Montgomery,14
Tuscaloosa,Uniontown,14
Birmingham,Enterprise,14
Bessemer,Selma,14
Montgomery,Saraland,14
Birmingham,Haleyville,14
Auburn,Mobile,14
Carbon Hill,Tuscaloosa,14
Birmingham,Moundville,14
Tuscaloosa,Tuskegee,14
Fairfield,Tuscaloosa,14
Demopolis,Greensboro,14
Mobile,Saraland,14
Saraland,Tuscaloosa,14
Enterprise,Trussville,14
Birmingham,Clay,13
Thomasville,Tuscaloosa,13
Sylacauga,Tuscaloosa,13
Homewood,Vestavia Hills,13
Cullman,Gadsden,13
Birmingham,Jacksonville,13
Bessemer,Northport,13
Fairhope,Tuscaloosa,13
Birmingham,Saraland,13
Mobile,Selma,13
Bessemer,Gadsden,13
Centreville,Fayette,13
Auburn,Dadeville,13
Birmingham,Marion,13
Brent,Fayette,13
Fayette,Greensboro,12
Phenix City,Tuscaloosa,12
Dothan,Mobile,12
Carbon Hill,Jasper,12
Madison,Montgomery,12
Jasper,Parrish,12
Fairhope,Mobile,12
Hamilton,Tuscaloosa,12
Birmingham,Pinson,12
Athens,Tuscaloosa,12
Alabaster,Birmingham,12
Mountain Brook,Vestavia Hills,12
Aliceville,Enterprise,11
Aliceville,Birmingham,11
Homewood,Trussville,11
Auburn,Tuskegee,11
Jacksonville,Oxford,11
Aliceville,Mountain Brook,11
Birmingham,Eutaw,11
Glen Allen,Tuscaloosa,11
Dothan,Ozark,11
Mobile,Opelika,11
Demopolis,Mobile,11
Atmore,Mobile,11
Brent,Jasper,11
Carrollton,Greensboro,11
Eutaw,Fayette,11
Greensboro,Northport,11
Bessemer,Homewood,11
Tuscaloosa,York,11
Cordova,Jasper,11
Homewood,Selma,11
Bessemer,Jasper,11
Montgomery,Prattville,11
Bessemer,Demopolis,11
Brookwood,Montevallo,11
Cullman,Demopolis,11
Demopolis,Marion,10
Cordova,Parrish,10
Prichard,Saraland,10
Opelika,Prichard,10
Auburn,Phenix City,10
Birmingham,Brent,10
Enterprise,Florence,10
Centreville,Jasper,10
Birmingham,Moody,10
Aliceville,Hueytown,10
Bessemer,Greensboro,10
Mountain Brook,Trussville,10
Jasper,Marion,10
Birmingham,Livingston,10
Aliceville,Vestavia Hills,10
