Id,Size,GEOID,Label,longitude,latitude
Abbeville,6,100124,Abbeville,-85.25276840845255,31.56642931711147
Adamsville,11,100460,Adamsville,-86.9744845297253,33.606385646921154
Addison,2,100484,Addison,-87.17647714829718,34.201760267095
Akron,32,100676,Akron,-87.74287662041539,32.87853926933413
Alabaster,49,100820,Alabaster,-86.82260893086365,33.219692139639726
Albertville,24,100988,Albertville,-86.2105470351009,34.263093759815746
Alexander City,31,101132,Alexander City,-85.93604310227187,32.92423315828512
Aliceville,147,101228,Aliceville,-88.15936909985848,33.123701369448284
Andalusia,25,101708,Andalusia,-86.47809011914292,31.310148144357676
Anderson,1,101756,Anderson,-87.27160834968166,34.91470030714601
Anniston,60,101852,Anniston,-85.81397224075221,33.67057751138976
Arab,11,102116,Arab,-86.49900671388555,34.33081865521627
Ardmore,4,102260,Ardmore,-86.83736156607323,34.984674958599726
Athens,98,102956,Athens,-86.94986154486358,34.78472159857323
Atmore,75,103004,Atmore,-87.4762233773501,31.092714129365444
Attalla,5,103028,Attalla,-86.10398066340413,34.00486222471292
Auburn,543,103076,Auburn,-85.48964992618042,32.60846805754258
Bakerhill,1,103724,Bakerhill,-85.29549358705648,31.776895849645747
Banks,2,103940,Banks,-85.8364160286394,31.813251126893245
Bay Minette,15,104660,Bay Minette,-87.79121697307279,30.893801629798705
Bayou La Batre,3,104684,Bayou La Batre,-88.2608988464039,30.412785107621325
Bear Creek,6,104852,Bear Creek,-87.71640378923587,34.26510432354249
Belk,2,105164,Belk,-87.92861926726745,33.65164578192808
Berry,2,105932,Berry,-87.60790451550993,33.662291456954335
Bessemer,229,105980,Bessemer,-86.97135688253519,33.37087389953692
Birmingham,2304,107000,Birmingham,-86.79866510586251,33.527559460164646
Boaz,16,107912,Boaz,-86.15287432481644,34.19849542322737
Brent,92,109136,Brent,-87.175304355487,32.94208219247009
Brewton,9,109208,Brewton,-87.07456958423273,31.117220027779215
Bridgeport,3,109328,Bridgeport,-85.72433720439263,34.949557734303994
